OrderID,Date,Quantity,FanId,ProdId,Cost,Unit Price
13491,5/29/20,5,FAN-8143164,PROD-0006, $ 179.60 , $ 349.99 
19489,5/15/20,2,FAN-6710162,PROD-0009, $ 10.50 , $ 19.99 
33553,11/18/20,9,FAN-8145102,PROD-0019, $ 6.20 , $ 9.99 
43788,11/22/20,4,FAN-6213345,PROD-0015, $ 142.20 , $ 279.99 
43788,11/22/20,3,FAN-6213345,PROD-0016, $ 46.40 , $ 89.99 
43869,10/22/20,2,FAN-6213345,PROD-0017, $ 5.30 , $ 9.99 
43869,10/22/20,9,FAN-6213345,PROD-0018, $ 15.40 , $ 29.99 
50489,8/27/20,3,FAN-5630273,PROD-0002, $ 703.30 ," $ 1,399.99 "
61319,5/20/20,3,FAN-5380231,PROD-0010, $ 16.60 , $ 29.99 
72715,7/6/20,1,FAN-9753719,PROD-0012, $ 18.70 , $ 29.99 
72715,7/6/20,3,FAN-9753719,PROD-0013, $ 96.10 , $ 189.99 
93753,9/3/20,4,FAN-2811958,PROD-0004, $ 9.40 , $ 9.99 
95911,5/30/20,5,FAN-7265098,PROD-0007, $ 241.50 , $ 479.99 
104620,11/13/20,6,FAN-1960402,PROD-0010, $ 16.60 , $ 29.99 
114602,7/7/20,2,FAN-1881461,PROD-0016, $ 46.40 , $ 89.99 
121780,10/18/20,4,FAN-1940543,PROD-0003, $ 55.00 , $ 109.99 
127769,6/23/20,3,FAN-5092760,PROD-0013, $ 96.10 , $ 189.99 
130934,8/26/20,8,FAN-6851460,PROD-0015, $ 142.20 , $ 279.99 
138272,10/14/20,1,FAN-2522326,PROD-0019, $ 6.20 , $ 9.99 
143235,8/29/20,7,FAN-8971591,PROD-0005," $ 1,682.10 "," $ 3,359.99 "
144245,5/13/20,7,FAN-2010771,PROD-0006, $ 179.60 , $ 349.99 
151114,7/21/20,2,FAN-8971591,PROD-0016, $ 46.40 , $ 89.99 
151114,7/21/20,2,FAN-8971591,PROD-0017, $ 5.30 , $ 9.99 
151114,7/21/20,3,FAN-8971591,PROD-0018, $ 15.40 , $ 29.99 
151114,7/21/20,1,FAN-8971591,PROD-0019, $ 6.20 , $ 9.99 
151114,7/21/20,2,FAN-8971591,PROD-0020, $ 66.30 , $ 129.99 
151114,7/21/20,6,FAN-8971591,PROD-0001, $ 125.70 , $ 249.99 
